City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,Young,-32.6833,-57.6333,53.44,72,95,5.26,UY,2022-04-30 14:44:57
277,Margate,51.3813,1.3862,56.7,69,45,1.01,GB,2022-04-30 14:44:57
278,Abu Samrah,35.3029,37.1841,79.05,31,39,14.99,SY,2022-04-30 14:44:58
279,Laguna,38.421,-121.4238,62.08,75,0,1.01,US,2022-04-30 14:44:59
280,Pudozh,61.8099,36.5345,36.7,57,89,4.92,RU,2022-04-30 14:44:59
281,Caranavi,-15.8167,-67.55,68.61,92,94,0.89,BO,2022-04-30 14:45:00
282,Shimanovsk,52.0,127.7,39.94,45,98,8.43,RU,2022-04-30 14:45:01
283,Nova Vicosa,-17.8919,-39.3719,81.95,62,7,7.56,BR,2022-04-30 14:44:47
284,Ravar,31.2656,56.8055,73.6,41,84,9.64,IR,2022-04-30 14:45:02
285,Frankenburg,48.0684,13.4907,64.65,35,97,1.99,AT,2022-04-30 14:45:02
286,Cockburn Town,21.4612,-71.1419,76.73,74,100,18.72,TC,2022-04-30 14:43:30
287,Olafsvik,64.8945,-23.7142,45.21,87,100,15.17,IS,2022-04-30 14:45:03
288,Guarapari,-20.6667,-40.4975,82.89,61,3,7.85,BR,2022-04-30 14:43:57
289,Saint George,37.1041,-113.5841,59.43,25,0,8.05,US,2022-04-30 14:44:30
290,Haapiti,-17.5667,-149.8667,74.93,72,8,15.86,PF,2022-04-30 14:45:04
291,Half Moon Bay,37.4636,-122.4286,58.05,84,75,14.97,US,2022-04-30 14:41:04
